,seed,sampSize,dim,knn,title,data,FP,RAVK1,RAVK2,Proposed,trueInfo
0,0.0,100.0,1.0,7.0,income data,income,0.6699450570602603,-0.5828321203069124,-0.05141889559522847,0.05698172096692185,
1,0.0,200.0,1.0,7.0,income data,income,1.171984298845462,-0.3636320373232013,-0.04411488129642084,0.05678957870252628,
2,0.0,300.0,1.0,7.0,income data,income,1.514298399395813,-0.3429055658803046,-0.012080328722724272,0.07287881951855334,
3,0.0,400.0,1.0,7.0,income data,income,1.7013819102099952,-0.23556454174738733,-0.008936012977775219,0.06548740855901894,
4,0.0,500.0,1.0,7.0,income data,income,1.7492696856782042,-0.22881146789197207,-0.008144390268147748,0.051856180283044395,
5,0.0,600.0,1.0,7.0,income data,income,2.0565887271514054,-0.16108991219844987,-0.02195391515767441,0.034129924589338986,
6,0.0,700.0,1.0,7.0,income data,income,2.0147922521701105,-0.17833310862934632,-0.013918999032605555,0.03409272949878253,
7,0.0,800.0,1.0,7.0,income data,income,2.1418963273614446,-0.10279089076465403,-0.014475716675146409,0.030670709460383073,
8,0.0,900.0,1.0,7.0,income data,income,2.180521259464985,-0.08646809004335786,-0.0066350999648934475,0.033723650946978316,
9,0.0,1000.0,1.0,7.0,income data,income,2.179600526825366,-0.08705915417835927,-0.003341528994530455,0.03305365858610067,
0,1.0,100.0,1.0,7.0,income data,income,0.6096065083039209,-0.5233877942334553,-0.10363016780435066,0.013493596941558904,
1,1.0,200.0,1.0,7.0,income data,income,1.2612175826279122,-0.39116411451890243,-0.04317527522556384,0.04664568601844051,
2,1.0,300.0,1.0,7.0,income data,income,1.3504368499737622,-0.34225970791021704,-0.03767572374854699,0.039165582884264985,
3,1.0,400.0,1.0,7.0,income data,income,1.7920965629053558,-0.2524667755453742,-0.0235399263833891,0.04730625112151295,
4,1.0,500.0,1.0,7.0,income data,income,1.9347987249510552,-0.15552894424629765,-0.024944516346347784,0.04051233725738818,
5,1.0,600.0,1.0,7.0,income data,income,2.03901215225735,-0.13375416839344934,-0.016417575689429094,0.040632762695436316,
6,1.0,700.0,1.0,7.0,income data,income,2.1370094432935667,-0.0910715487289722,-0.011825306001820895,0.03929129562152599,
7,1.0,800.0,1.0,7.0,income data,income,2.143244147422378,-0.08653201253847084,-0.014250283037978533,0.03083845943850534,
8,1.0,900.0,1.0,7.0,income data,income,2.157126968294683,-0.08442120352161087,-0.007460663136321404,0.03272057656000838,
9,1.0,1000.0,1.0,7.0,income data,income,2.1621079867161357,-0.08319796341807363,-0.006697640943431186,0.029308598560953393,
0,2.0,100.0,1.0,7.0,income data,income,0.6723943806776351,-0.53348139015298,-0.06806787631063484,0.04962965059608305,
1,2.0,200.0,1.0,7.0,income data,income,0.9895552176734047,-0.4413755283917506,-0.020053632180417717,0.07654030680772152,
2,2.0,300.0,1.0,7.0,income data,income,1.4964092910975935,-0.3843215229691788,-0.0019492113794318804,0.08052993807166392,
3,2.0,400.0,1.0,7.0,income data,income,1.780256337323018,-0.2195617749790687,0.007032762570971083,0.08351528938154328,
4,2.0,500.0,1.0,7.0,income data,income,1.8399222336921912,-0.19000846345606578,0.042834906317715596,0.1045939723131453,
5,2.0,600.0,1.0,7.0,income data,income,2.0143721730945954,-0.16993238018012513,0.0417946140426962,0.09673524443835084,
6,2.0,700.0,1.0,7.0,income data,income,2.145767807945031,-0.08179399892010536,0.017810899653525582,0.0697345438791455,
7,2.0,800.0,1.0,7.0,income data,income,2.1594026778648274,-0.07132051421298144,0.02219308517801366,0.06786175038066868,
8,2.0,900.0,1.0,7.0,income data,income,2.2021983464180073,-0.07752812656061506,0.010363550721208632,0.05136967780338216,
